ticker,company,date,quarter,year,document_sentiment,document_sentiment_score,document_confidence,document_uncertainty_score,word_count
NVDA,NVIDIA CORP,2020-08-19,Q2,2021,negative,-0.39206886291503906,0.5259609222412109,0.02030456852791878,1182
NVDA,NVIDIA CORP,2020-09-14,Q2,2020,negative,-0.21866861979166669,0.6048177083333334,0.024665981500513873,973
NVDA,NVIDIA CORP,2020-11-18,Q3,2021,negative,-0.66776123046875,0.7826171875,0.00804289544235925,1492
NVDA,NVIDIA CORP,2021-02-24,Q4,2020,negative,-0.6438751220703125,0.74298095703125,0.009029345372460496,1329
NVDA,NVIDIA CORP,2021-05-26,Q1,2022,negative,-0.44642333984375,0.71441650390625,0.015170670037926676,1582
NVDA,NVIDIA CORP,2021-08-18,Q2,2022,negative,-0.7844009399414062,0.8834228515625,0.008614501076812634,1393
NVDA,NVIDIA CORP,2021-11-17,Q3,2022,negative,-0.58067626953125,0.78271484375,0.007838014369693011,1531
NVDA,NVIDIA CORP,2022-02-16,Q4,2021,negative,-0.46762390136718746,0.72142333984375,0.008356545961002784,1436
NVDA,NVIDIA CORP,2022-05-25,Q1,2023,negative,-0.41019592285156253,0.6093505859375,0.029957203994293864,1402
NVDA,NVIDIA CORP,2022-08-24,Q2,2023,negative,-0.5279140472412109,0.5751132965087891,0.02622377622377622,1144
NVDA,NVIDIA CORP,2022-11-16,Q3,2023,neutral,-0.08150863647460938,0.509002685546875,0.009501187648456056,1263
NVDA,NVIDIA CORP,2023-02-22,Q4,2022,neutral,-0.3488433837890625,0.53504638671875,0.008771929824561403,1368
NVDA,NVIDIA CORP,2023-05-24,Q1,2024,negative,-0.5113677978515625,0.6013259887695312,0.011363636363636364,1056
NVDA,NVIDIA CORP,2023-08-23,Q2,2024,negative,-0.380712890625,0.6815185546875,0.008771929824561403,1368
NVDA,NVIDIA CORP,2023-11-21,Q3,2024,negative,-0.82562255859375,0.9034423828125,0.015803336259877083,1139
NVDA,NVIDIA CORP,2024-02-21,Q4,2023,negative,-0.875,0.924560546875,0.00995850622406639,1205
NVDA,NVIDIA CORP,2024-05-22,Q1,2025,negative,-0.6712799072265625,0.77099609375,0.008955223880597014,1340
NVDA,NVIDIA CORP,2024-08-28,Q2,2025,negative,-0.76544189453125,0.8680419921875,0.019433198380566796,1235
NVDA,NVIDIA CORP,2024-11-20,Q3,2025,negative,-0.7941131591796875,0.887451171875,0.01020408163265306,1176
NVDA,NVIDIA CORP,2025-02-26,Q4,2024,negative,-0.543743896484375,0.74228515625,0.013138686131386862,1370
NVDA,NVIDIA CORP,2025-05-28,Q1,2026,negative,-0.4907493591308594,0.6333961486816406,0.025441696113074203,1415
NVDA,NVIDIA CORP,2025-08-27,Q2,2026,negative,-0.38567352294921875,0.683441162109375,0.026765799256505574,1345
NVDA,NVIDIA CORP,2025-11-19,Q3,2026,negative,-0.2150390625,0.59639892578125,0.008810572687224669,1362
NVDA,NVIDIA CORP,2026-02-25,Q4,2025,negative,-0.5571350097656249,0.763421630859375,0.003722084367245657,1612
NVDA,NVIDIA CORP,2026-05-20,Q1,2027,negative,-0.6285629272460938,0.807373046875,0.014766201804757998,1219
NVDA,NVIDIA CORP,2026-08-26,Q2,2027,negative,-0.13944244384765625,0.5591583251953125,0.014331210191082801,1256
